userName,score,at,content,bahasa,gaya_bahasa,topik_komentar
adi datahp,5,2026-04-28 06:53:37,good,so,Inggris,Lainnya
Moksin Pattimura,5,2026-04-28 06:26:03,alhamdulillah sangat bagus dan memudahkan untuk cek. terima kasih atas pelayanan dan kemudahannya,id,Gaul,Pujian
sumianto anto,5,2026-04-28 06:09:11,sangat berguna praktis tdk ribet,id,Gaul,Kesulitan
Wahyu Ubaidillah,5,2026-04-28 05:12:11,sangat membantu 👍,id,Gaul,Pujian
Mulki Hasan,5,2026-04-28 05:01:06,sangat membantu,id,Gaul,Pujian
baidillah dillah,5,2026-04-28 04:48:13,sangat membantu sekali,id,Gaul,Pujian
Parlindungan Siregar,5,2026-04-28 04:09:23,ok,sk,Indonesia Umum,Lainnya
Ronnie Nurbiantoro,5,2026-04-28 02:58:51,"Bermanfaat sekali, sangat membantu arus dokumen sudah sejauh mana kita bisa mengetahui dan prakiraan selesai bisa diprediksi.",id,Gaul,Pujian
Ardin laugi,4,2026-04-28 01:40:35,"Aplikasinya bagus, hanya sj menu tanya berkasku hapus saja, jdi menghambat penyelesaian berkas yang ad..",id,Indonesia Umum,Pujian
France Richie09,5,2026-04-28 01:02:15,bagus,tl,Indonesia Umum,Pujian
Irvan Ismail,5,2026-04-28 00:33:00,👍🏻👍🏻👍🏻,unknown,Indonesia Umum,Lainnya
Agus Supriyatna,5,2026-04-28 00:20:26,bagus terbantukan ga bolak balik ke BPN,id,Gaul,Pujian
Karna Alpinata,5,2026-04-27 23:56:42,sangat membantu,id,Gaul,Pujian
adi Setiawadi,4,2026-04-27 23:04:34,sangat membantu hanya lebih di tingkatkan lagi pelayanan kerjanya sejauh ini banyak perubahan lebih baik dari sebelum nya,id,Gaul,Pujian
Irsa Saepul,5,2026-04-27 22:42:59,bagus,tl,Indonesia Umum,Pujian
Muhammad yasir Salihi,5,2026-04-27 21:34:59,good,so,Inggris,Lainnya
Topx Mahesastudio,5,2026-04-27 17:27:16,good,so,Inggris,Lainnya
Siti Makbulah,5,2026-04-27 14:05:43,aplikasi yang sangat bagus,tl,Gaul,Pujian
Aris Kaili,1,2026-04-27 13:36:31,cari berkas lalot bgt . TDK bisa kebuka.,id,Gaul,Lainnya
Rully Wibowo Arifin,5,2026-04-27 12:52:15,Membantu identifikasi tanah,id,Indonesia Umum,Pujian
Budi Budiman,5,2026-04-27 11:49:53,mudah menggunakannya,id,Indonesia Umum,Lainnya
holip identifikasi,4,2026-04-27 11:22:58,sangat membantu dalam pengecekatn tanah ke akurasi nya samgat bagus,id,Gaul,Pujian
Adi Supriadi,5,2026-04-27 11:18:34,mudah digunakan aplikasinya.,id,Indonesia Umum,Lainnya
Dewi Rubini,5,2026-04-27 10:34:23,mudah mencari data pertanyaan.,id,Indonesia Umum,Lainnya
Anwari Property Rakyat,5,2026-04-27 10:19:11,bagus masyarakat semakin dipermudah update serrifikat,id,Indonesia Umum,Pujian
Uthe Irianto,5,2026-04-27 09:18:31,sangat membantu ...,id,Gaul,Pujian
Bagus Mahardika,5,2026-04-27 08:39:33,baru kali ini ada aplikasi pemerintah yg sangat bagus,id,Gaul,Pujian
